heads= 1 scale=0.001: mismatched bytes 0, scales 0
heads= 1 scale=1: mismatched bytes 0, scales 0
heads= 1 scale=50: mismatched bytes 0, scales 0
heads= 1 scale=10000: mismatched bytes 0, scales 0
heads= 3 scale=0.001: mismatched bytes 0, scales 0
heads= 3 scale=1: mismatched bytes 0, scales 0
heads= 3 scale=50: mismatched bytes 0, scales 0
heads= 3 scale=10000: mismatched bytes 0, scales 0
heads=16 scale=0.001: mismatched bytes 0, scales 0
heads=16 scale=1: mismatched bytes 0, scales 0
heads=16 scale=50: mismatched bytes 0, scales 0
heads=16 scale=10000: mismatched bytes 0, scales 0
heads=32 scale=0.001: mismatched bytes 0, scales 0
heads=32 scale=1: mismatched bytes 0, scales 0
heads=32 scale=50: mismatched bytes 0, scales 0
heads=32 scale=10000: mismatched bytes 0, scales 0
mutation 'token/head swap': mismatched bytes/scales (28382, 0)
mutation 'byte order': mismatched bytes/scales (16150, 0)
mutation 'scale index': mismatched bytes/scales (0, 256)
