NVIDIA GeForce RTX 5050  smem budget 96 KiB  peak assumed 320 GB/s
 rows  n_cand     MB   bins  stash  mask+topk    fused  speedup   GB/s  vs 1-read floor
    8    1024   0.03     1K   5568       13.2      8.0    1.64x      4            78.4x
    8    4096   0.13     4K   5376       18.5      6.0    3.08x     22            14.6x
    8    8192   0.26     8K   5120       31.7      8.2    3.89x     32            10.0x
    8   16384   0.52    16K   4608       52.0     11.3    4.59x     46             6.9x
    8   32768   1.05    32K   3584       52.0     15.9    3.27x     66             4.8x
    8   50688   1.62    49K   2464       54.9     22.6    2.43x     72             4.5x
   16    1024   0.07     1K   5568       13.6      8.3    1.63x      8            40.8x
   16    4096   0.26     4K   5376       19.5      5.9    3.31x     44             7.2x
   16    8192   0.52     8K   5120       32.2      8.4    3.84x     63             5.1x
   16   16384   1.05    16K   4608       59.0     14.9    3.97x     70             4.5x
   16   32768   2.10    32K   3584       63.2     16.3    3.88x    129             2.5x
   16   50688   3.24    49K   2464       79.9     22.7    3.52x    143             2.2x
  sum                                   489.7    148.5    3.30x                    4.4x
