  glm53 preshard: TP 4, layers 0..44 (45), -> /ranks
  top                3 sources ->   3 tensors/rank     1.4 s
  layer 0           26 sources ->  18 tensors/rank     0.3 s
  layer 1           26 sources ->  18 tensors/rank     0.5 s
  layer 2           26 sources ->  18 tensors/rank     1.2 s
  layer 3         2619 sources ->  29 tensors/rank    28.8 s
  layer 4         2620 sources ->  24 tensors/rank    31.0 s
  layer 5         2620 sources ->  24 tensors/rank    30.3 s
  layer 6         2620 sources ->  24 tensors/rank    30.9 s
  layer 7         2619 sources ->  29 tensors/rank    32.4 s
  layer 8         2620 sources ->  24 tensors/rank    31.0 s
  layer 9         2620 sources ->  24 tensors/rank    31.3 s
  layer 10        2620 sources ->  24 tensors/rank    31.4 s
  layer 11        2619 sources ->  29 tensors/rank    31.6 s
  layer 12        2620 sources ->  24 tensors/rank    30.5 s
  layer 13        2620 sources ->  24 tensors/rank    19.4 s
  layer 14        2620 sources ->  24 tensors/rank    20.0 s
  layer 15        2619 sources ->  29 tensors/rank    20.2 s
  layer 16        2620 sources ->  24 tensors/rank    19.4 s
  layer 17        2620 sources ->  24 tensors/rank    20.2 s
  layer 18        2620 sources ->  24 tensors/rank    19.5 s
  layer 19        2619 sources ->  29 tensors/rank    19.3 s
  layer 20        2620 sources ->  24 tensors/rank    20.3 s
  layer 21        2620 sources ->  24 tensors/rank    19.0 s
  layer 22        2620 sources ->  24 tensors/rank    18.2 s
  layer 23        2619 sources ->  29 tensors/rank    20.0 s
  layer 24        2620 sources ->  24 tensors/rank    18.6 s
  layer 25        2620 sources ->  24 tensors/rank    18.1 s
  layer 26        2620 sources ->  24 tensors/rank    18.3 s
  layer 27        2619 sources ->  29 tensors/rank    19.5 s
  layer 28        2620 sources ->  24 tensors/rank    18.6 s
  layer 29        2620 sources ->  24 tensors/rank    19.5 s
  layer 30        2620 sources ->  24 tensors/rank    19.5 s
  layer 31        2619 sources ->  29 tensors/rank    18.7 s
  layer 32        2620 sources ->  24 tensors/rank    19.5 s
  layer 33        2620 sources ->  24 tensors/rank    18.5 s
  layer 34        2620 sources ->  24 tensors/rank    18.1 s
  layer 35        2619 sources ->  29 tensors/rank    19.7 s
  layer 36        2620 sources ->  24 tensors/rank    19.2 s
  layer 37        2620 sources ->  24 tensors/rank    20.0 s
  layer 38        2620 sources ->  24 tensors/rank    19.4 s
  layer 39        2619 sources ->  29 tensors/rank    19.0 s
  layer 40        2620 sources ->  24 tensors/rank    18.0 s
  layer 41        2620 sources ->  24 tensors/rank    27.1 s
  layer 42        2620 sources ->  24 tensors/rank    19.0 s
  layer 43        2619 sources ->  29 tensors/rank    18.6 s
  layer 44        2620 sources ->  24 tensors/rank    19.5 s
  read 176.09 GiB, wrote 4 x 44.50 GiB in 941 s
  done: 44.50 GiB per rank
