[megakernel] selftest mla rel=2.70e-03 pair_prefill=False group=2 prefill32=False -> ARM
[b12x-bounds] state_E=288 n=512 tile_m=16 routed_rows=2048 -> rows 6640/6640 tiles 415/415 tasks 1660/1660
round 0 [3697.6640224456787, 3645.4880237579346]
round 1 [3695.3760385513306, 3645.6000804901123]
round 2 [3704.9280405044556, 3655.711889266968]
round 3 [3702.8160095214844, 3685.3920221328735]
round 4 [3707.792043685913, 3659.4079732894897]
case 256 1 {'baseline': 3701.7440795898438, 'optimized': 3650.5759954452515}
round 0 [4130.816221237183, 4084.4318866729736]
round 1 [4129.312038421631, 4083.1520557403564]
round 2 [4143.600225448608, 4091.104030609131]
round 3 [4143.743991851807, 4082.2079181671143]
round 4 [4143.56803894043, 4088.4478092193604]
case 256 6 {'baseline': 4137.967824935913, 'optimized': 4085.792064666748}
round 0 [7940.112113952637, 3795.4879999160767]
round 1 [3882.032036781311, 3769.984006881714]
round 2 [3835.983991622925, 4950.84810256958]
round 3 [4254.208087921143, 4551.167964935303]
round 4 [3839.039921760559, 4113.471984863281]
case 32768 1 {'baseline': 3971.664071083069, 'optimized': 4076.080083847046}
round 0 [4237.98394203186, 4162.591934204102]
round 1 [4216.416120529175, 4169.232130050659]
round 2 [4438.447952270508, 4417.072057723999]
round 3 [4417.216062545776, 4404.752016067505]
round 4 [4444.447994232178, 4349.424123764038]
case 32768 6 {'baseline': 4293.264150619507, 'optimized': 4226.160049438477}
