[W911 12:17:14.197057650 Utils.hpp:137] Warning: Environment variable NCCL_ASYNC_ERROR_HANDLING is deprecated; use TORCH_NCCL_ASYNC_ERROR_HANDLING instead (function operator())
[megakernel] selftest mla rel=2.70e-03 pair_prefill=False group=2 prefill32=False -> ARM
[b12x-bounds] state_E=288 n=512 tile_m=16 routed_rows=2048 -> rows 6640/6640 tiles 415/415 tasks 1660/1660
round 0 [4960.239887237549, 4870.11194229126]
round 1 [10970.704078674316, 5153.664112091064]
round 2 [9852.080345153809, 4816.239833831787]
round 3 [4716.560125350952, 4514.048099517822]
round 4 [4692.576169967651, 11038.832187652588]
case 256 1 {'baseline': 5458.623886108398, 'optimized': 4870.703935623169}
round 0 [5506.223917007446, 6320.96004486084]
round 1 [13057.503700256348, 11630.608081817627]
round 2 [13355.871677398682, 35653.72848510742]
round 3 [12716.559886932373, 36834.129333496094]
round 4 [12889.792442321777, 12983.423709869385]
case 256 6 {'baseline': 12891.808032989502, 'optimized': 13049.007892608643}
round 0 [9831.599712371826, 11776.19218826294]
round 1 [17507.471084594727, 9766.032218933105]
round 2 [9821.791648864746, 29194.84806060791]
round 3 [9901.871681213379, 12023.024082183838]
round 4 [9843.9040184021, 23586.079597473145]
case 32768 1 {'baseline': 10572.255611419678, 'optimized': 12184.864044189453}
round 0 [12768.57614517212, 10576.879978179932]
round 1 [13145.551681518555, 10584.239959716797]
round 2 [11844.879627227783, 12893.824100494385]
round 3 [6593.679904937744, 23203.26328277588]
round 4 [12534.127712249756, 11072.62372970581]
case 32768 6 {'baseline': 12155.231952667236, 'optimized': 12467.631816864014}
