round 0 [17.456000670790672, 7.168000098317862]
round 1 [17.503999173641205, 7.168000098317862]
round 2 [17.472000792622566, 7.199999876320362]
round 3 [17.535999417304993, 7.199999876320362]
round 4 [17.5199992954731, 7.183999987319112]
round 0 [17.40800030529499, 7.168000098317862]
round 1 [17.424000427126884, 7.23200011998415]
round 2 [17.424000427126884, 7.199999876320362]
round 3 [17.40800030529499, 7.215999998152256]
round 4 [17.40800030529499, 7.135999854654074]
round 0 [17.40800030529499, 15.887999907135963]
round 1 [17.44000054895878, 15.87199978530407]
round 2 [17.40800030529499, 15.776000916957855]
round 3 [17.40800030529499, 15.887999907135963]
round 4 [17.44000054895878, 15.904000028967857]
transfer 1 1 {'baseline': 17.503999173641205, 'optimized': 7.199999876320362}
round 0 [76.57600194215775, 8.016000036150217]
round 1 [76.07999816536903, 8.144000079482794]
round 2 [75.6480023264885, 7.85600021481514]
round 3 [76.65600255131721, 8.191999979317188]
round 4 [76.4320008456707, 8.384000044316053]
round 0 [74.62400197982788, 7.615999784320593]
round 1 [74.65600222349167, 7.919999770820141]
round 2 [74.68800246715546, 7.935999892652035]
round 3 [74.62400197982788, 7.615999784320593]
round 4 [74.68800246715546, 8.032000157982111]
round 0 [74.81599971652031, 74.72000271081924]
round 1 [74.5600014925003, 74.49600100517273]
round 2 [74.64000210165977, 74.70400258898735]
round 3 [74.60800185799599, 74.73600283265114]
round 4 [74.5600014925003, 74.68800246715546]
transfer 1 2 {'baseline': 76.4320008456707, 'optimized': 8.128000423312187}
round 0 [219.85600143671036, 12.80000014230609]
round 1 [219.200000166893, 12.832000385969877]
round 2 [220.15999257564545, 12.639999855309725]
round 3 [220.67200392484665, 12.848000042140484]
round 4 [221.98400646448135, 12.880000285804272]
round 0 [212.5759944319725, 12.815999798476696]
round 1 [212.3039960861206, 12.767999898642302]
round 2 [211.72799915075302, 12.688000220805407]
round 3 [211.95200085639954, 12.848000042140484]
round 4 [212.0639979839325, 12.048000004142523]
round 0 [211.96800470352173, 214.2079994082451]
round 1 [212.12799847126007, 213.95200490951538]
round 2 [211.90400421619415, 213.6159986257553]
round 3 [212.20799535512924, 213.98399770259857]
round 4 [212.3040035367012, 214.01600539684296]
transfer 1 4 {'baseline': 220.15999257564545, 'optimized': 12.768000364303589}
round 0 [1892.6880359649658, 361.85599863529205]
round 1 [1877.2960305213928, 361.392006278038]
round 2 [1874.7040033340454, 361.00800335407257]
round 3 [1891.3280367851257, 361.4239990711212]
round 4 [1908.1439971923828, 364.7200018167496]
round 0 [1851.4080047607422, 356.224000453949]
round 1 [1851.1040210723877, 357.1999967098236]
round 2 [1855.6800484657288, 357.1839928627014]
round 3 [1851.8080115318298, 356.8959981203079]
round 4 [1850.3519892692566, 357.1679890155792]
round 0 [1852.512001991272, 1841.6159749031067]
round 1 [1850.5120277404785, 1846.2080359458923]
round 2 [1852.6719808578491, 1842.5120115280151]
round 3 [1850.6399989128113, 1841.1200046539307]
round 4 [1850.1279950141907, 1827.679991722107]
transfer 34 1 {'baseline': 1888.2079720497131, 'optimized': 361.5359961986542}
round 0 [3691.5359497070312, 641.8879926204681]
round 1 [3689.4400119781494, 642.304003238678]
round 2 [3695.1040029525757, 641.7119801044464]
round 3 [3689.168095588684, 641.9199705123901]
round 4 [3687.280058860779, 641.6640281677246]
round 0 [3631.9520473480225, 641.9519782066345]
round 1 [3615.5200004577637, 640.639990568161]
round 2 [3612.511992454529, 641.7759954929352]
round 3 [3611.35995388031, 641.264021396637]
round 4 [3621.6959953308105, 643.343985080719]
round 0 [3826.9920349121094, 3633.311986923218]
round 1 [3612.096071243286, 3621.232032775879]
round 2 [3610.5759143829346, 3617.471933364868]
round 3 [3671.3279485702515, 3616.479992866516]
round 4 [3612.639904022217, 3635.264039039612]
transfer 34 2 {'baseline': 3689.4880533218384, 'optimized': 641.871988773346}
round 0 [7398.208141326904, 1251.6480088233948]
round 1 [7402.879953384399, 1249.9840259552002]
round 2 [7472.368001937866, 1250.8800029754639]
round 3 [7405.055999755859, 1250.2720355987549]
round 4 [7404.512166976929, 1251.0240077972412]
round 0 [7142.51184463501, 1252.5920271873474]
round 1 [7159.8241329193115, 1255.071997642517]
round 2 [7167.840003967285, 1254.3200254440308]
round 3 [7148.144006729126, 1254.3679475784302]
round 4 [7128.000020980835, 1251.1839866638184]
round 0 [7127.535820007324, 7276.319980621338]
round 1 [7120.048046112061, 7183.023929595947]
round 2 [7116.319894790649, 7152.879953384399]
round 3 [7114.239931106567, 7153.91993522644]
round 4 [7115.056037902832, 7147.552013397217]
transfer 34 4 {'baseline': 7405.52020072937, 'optimized': 1250.4479885101318}
