timestamp, utilization.gpu [%], clocks.current.sm [MHz], power.draw [W], temperature.gpu
2026/09/12 06:34:26.923, 15 %, 1579 MHz, 6.31 W, 51
2026/09/12 06:34:27.131, 15 %, 1579 MHz, 6.31 W, 51
2026/09/12 06:34:27.331, 15 %, 1579 MHz, 6.31 W, 51
2026/09/12 06:34:27.531, 3 %, 1579 MHz, 6.32 W, 51
2026/09/12 06:34:27.731, 3 %, 1579 MHz, 6.32 W, 51
2026/09/12 06:34:27.931, 3 %, 1579 MHz, 6.31 W, 51
2026/09/12 06:34:28.132, 3 %, 1579 MHz, 6.31 W, 51
2026/09/12 06:34:28.332, 3 %, 1579 MHz, 6.31 W, 51
2026/09/12 06:34:28.532, 6 %, 1579 MHz, 6.31 W, 51
2026/09/12 06:34:28.732, 6 %, 1579 MHz, 6.31 W, 51
2026/09/12 06:34:28.932, 6 %, 1579 MHz, 6.32 W, 51
2026/09/12 06:34:29.133, 6 %, 1579 MHz, 6.32 W, 51
2026/09/12 06:34:29.334, 6 %, 1579 MHz, 6.32 W, 51
2026/09/12 06:34:29.534, 7 %, 1579 MHz, 6.33 W, 51
2026/09/12 06:34:29.734, 7 %, 1579 MHz, 6.33 W, 51
2026/09/12 06:34:29.934, 7 %, 1579 MHz, 6.30 W, 51
2026/09/12 06:34:30.134, 7 %, 1579 MHz, 6.30 W, 51
2026/09/12 06:34:30.335, 7 %, 1579 MHz, 6.30 W, 51
2026/09/12 06:34:30.535, 17 %, 1579 MHz, 6.31 W, 51
2026/09/12 06:34:30.735, 17 %, 1579 MHz, 6.31 W, 51
2026/09/12 06:34:30.935, 17 %, 1579 MHz, 6.44 W, 51
2026/09/12 06:34:31.135, 17 %, 1579 MHz, 6.44 W, 51
2026/09/12 06:34:31.336, 17 %, 1579 MHz, 6.44 W, 51
2026/09/12 06:34:31.536, 8 %, 1579 MHz, 6.47 W, 51
2026/09/12 06:34:31.736, 8 %, 1579 MHz, 6.47 W, 51
2026/09/12 06:34:31.936, 8 %, 1579 MHz, 6.36 W, 51
2026/09/12 06:34:32.136, 8 %, 1579 MHz, 6.36 W, 51
2026/09/12 06:34:32.336, 8 %, 1579 MHz, 6.36 W, 51
2026/09/12 06:34:32.537, 96 %, 1579 MHz, 8.10 W, 52
2026/09/12 06:34:32.737, 96 %, 1579 MHz, 8.10 W, 52
2026/09/12 06:34:32.937, 96 %, 1579 MHz, 10.02 W, 52
2026/09/12 06:34:33.137, 96 %, 1579 MHz, 10.02 W, 52
2026/09/12 06:34:33.338, 96 %, 1579 MHz, 10.02 W, 52
2026/09/12 06:34:33.538, 94 %, 1579 MHz, 10.19 W, 52
2026/09/12 06:34:33.738, 94 %, 1579 MHz, 10.19 W, 52
2026/09/12 06:34:33.938, 94 %, 1579 MHz, 10.26 W, 52
2026/09/12 06:34:34.138, 94 %, 1579 MHz, 10.26 W, 52
2026/09/12 06:34:34.339, 94 %, 1579 MHz, 10.26 W, 52
2026/09/12 06:34:34.539, 94 %, 1579 MHz, 10.25 W, 52
2026/09/12 06:34:34.739, 94 %, 1579 MHz, 10.25 W, 52
2026/09/12 06:34:34.939, 94 %, 1579 MHz, 10.22 W, 52
2026/09/12 06:34:35.139, 94 %, 1579 MHz, 10.22 W, 52
2026/09/12 06:34:35.340, 94 %, 1579 MHz, 10.22 W, 52
2026/09/12 06:34:35.540, 94 %, 1579 MHz, 10.25 W, 52
2026/09/12 06:34:35.740, 94 %, 1579 MHz, 10.25 W, 52
2026/09/12 06:34:35.940, 94 %, 1579 MHz, 10.19 W, 53
2026/09/12 06:34:36.140, 94 %, 1579 MHz, 10.19 W, 53
2026/09/12 06:34:36.340, 94 %, 1579 MHz, 10.19 W, 53
2026/09/12 06:34:36.541, 94 %, 1573 MHz, 10.13 W, 53
2026/09/12 06:34:36.741, 94 %, 1573 MHz, 10.13 W, 53
2026/09/12 06:34:36.941, 94 %, 1573 MHz, 10.12 W, 53
2026/09/12 06:34:37.141, 94 %, 1573 MHz, 10.12 W, 53
2026/09/12 06:34:37.341, 94 %, 1573 MHz, 10.12 W, 53
2026/09/12 06:34:37.542, 94 %, 1579 MHz, 10.10 W, 53
2026/09/12 06:34:37.742, 94 %, 1579 MHz, 10.10 W, 53
2026/09/12 06:34:37.942, 94 %, 1579 MHz, 10.15 W, 53
2026/09/12 06:34:38.142, 94 %, 1579 MHz, 10.15 W, 53
2026/09/12 06:34:38.343, 94 %, 1579 MHz, 10.15 W, 53
2026/09/12 06:34:38.543, 94 %, 1573 MHz, 10.13 W, 53
2026/09/12 06:34:38.743, 94 %, 1573 MHz, 10.13 W, 53
2026/09/12 06:34:38.943, 94 %, 1573 MHz, 10.10 W, 53
2026/09/12 06:34:39.143, 94 %, 1573 MHz, 10.10 W, 53
2026/09/12 06:34:39.344, 94 %, 1573 MHz, 10.10 W, 53
2026/09/12 06:34:39.544, 94 %, 1573 MHz, 10.14 W, 53
2026/09/12 06:34:39.744, 94 %, 1573 MHz, 10.14 W, 53
