[transformers] You are using a model of type `glm5_next` to instantiate a model of type ``. This may be expected if you are loading a checkpoint that shares a subset of the architecture (e.g., loading a `sam2_video` checkpoint into `Sam2Model`), but is otherwise not supported and can yield errors. Please verify that the checkpoint is compatible with the model you are instantiating.
{"start": 0, "tokens": 622, "seconds": 15.938518226001179, "tp_replicas_exact": true}
{"start": 4, "tokens": 610, "seconds": 17.439485867005715, "tp_replicas_exact": true}
{"start": 8, "tokens": 597, "seconds": 18.868767559004482, "tp_replicas_exact": true}
{"start": 12, "tokens": 597, "seconds": 20.21691501400346, "tp_replicas_exact": true}
{"start": 16, "tokens": 563, "seconds": 21.475254697004857, "tp_replicas_exact": true}
{"start": 20, "tokens": 605, "seconds": 22.77200197500497, "tp_replicas_exact": true}
{"start": 24, "tokens": 610, "seconds": 24.122612364000815, "tp_replicas_exact": true}
{"start": 28, "tokens": 596, "seconds": 25.40830752799957, "tp_replicas_exact": true}
{"start": 32, "tokens": 582, "seconds": 26.666254244999436, "tp_replicas_exact": true}
{"start": 36, "tokens": 1728, "seconds": 29.598902702004125, "tp_replicas_exact": true}
{"start": 40, "tokens": 2048, "seconds": 33.05671163000079, "tp_replicas_exact": true}
{"start": 44, "tokens": 2048, "seconds": 36.623108788000536, "tp_replicas_exact": true}
{"start": 48, "tokens": 2048, "seconds": 39.84870481800317, "tp_replicas_exact": true}
{"start": 52, "tokens": 1945, "seconds": 43.21651932000532, "tp_replicas_exact": true}
{"start": 56, "tokens": 1985, "seconds": 46.39535968000564, "tp_replicas_exact": true}
{"start": 60, "tokens": 1832, "seconds": 49.31311454100069, "tp_replicas_exact": true}
{"start": 64, "tokens": 2048, "seconds": 52.39324310300435, "tp_replicas_exact": true}
{"start": 68, "tokens": 1814, "seconds": 55.29181145400071, "tp_replicas_exact": true}
{"start": 72, "tokens": 2048, "seconds": 58.62678238400258, "tp_replicas_exact": true}
{"start": 76, "tokens": 2048, "seconds": 61.81949715600058, "tp_replicas_exact": true}
{"start": 80, "tokens": 1993, "seconds": 64.98555684700113, "tp_replicas_exact": true}
{"start": 84, "tokens": 1823, "seconds": 67.89458206900599, "tp_replicas_exact": true}
{"start": 88, "tokens": 2048, "seconds": 70.99447055600467, "tp_replicas_exact": true}
{"start": 92, "tokens": 2048, "seconds": 74.23755293000431, "tp_replicas_exact": true}
{"start": 96, "tokens": 2048, "seconds": 77.81217563200335, "tp_replicas_exact": true}
{"start": 100, "tokens": 2048, "seconds": 80.98813393200544, "tp_replicas_exact": true}
{"start": 104, "tokens": 1626, "seconds": 83.69981662400096, "tp_replicas_exact": true}
{"start": 108, "tokens": 1779, "seconds": 86.61614820400428, "tp_replicas_exact": true}
{"start": 112, "tokens": 2046, "seconds": 89.92276694400061, "tp_replicas_exact": true}
{"start": 116, "tokens": 1891, "seconds": 92.88595047800482, "tp_replicas_exact": true}
{"start": 120, "tokens": 2048, "seconds": 95.94653144300537, "tp_replicas_exact": true}
{"start": 124, "tokens": 2048, "seconds": 98.97602920800273, "tp_replicas_exact": true}
{"start": 128, "tokens": 2048, "seconds": 102.51440845400066, "tp_replicas_exact": true}
{"start": 132, "tokens": 2048, "seconds": 105.7917917310042, "tp_replicas_exact": true}
{"start": 136, "tokens": 2048, "seconds": 108.94725565500266, "tp_replicas_exact": true}
{"start": 140, "tokens": 1817, "seconds": 112.11512772000424, "tp_replicas_exact": true}
{"start": 144, "tokens": 1808, "seconds": 115.2409558990039, "tp_replicas_exact": true}
{"start": 148, "tokens": 2048, "seconds": 118.2412398650049, "tp_replicas_exact": true}
{"start": 152, "tokens": 1851, "seconds": 121.21365857600176, "tp_replicas_exact": true}
{"start": 156, "tokens": 1771, "seconds": 124.07635237700015, "tp_replicas_exact": true}
{"start": 160, "tokens": 2048, "seconds": 127.14082109200535, "tp_replicas_exact": true}
{"start": 164, "tokens": 2048, "seconds": 130.24486176900245, "tp_replicas_exact": true}
{"start": 168, "tokens": 2048, "seconds": 133.4321346640063, "tp_replicas_exact": true}
{"start": 172, "tokens": 2048, "seconds": 136.89761695800553, "tp_replicas_exact": true}
{"start": 176, "tokens": 1680, "seconds": 139.9425093960017, "tp_replicas_exact": true}
{"start": 180, "tokens": 2048, "seconds": 142.9959347469994, "tp_replicas_exact": true}
{"start": 184, "tokens": 2048, "seconds": 146.08977117100585, "tp_replicas_exact": true}
{"start": 188, "tokens": 1942, "seconds": 149.30778926100174, "tp_replicas_exact": true}
{"start": 192, "tokens": 1827, "seconds": 152.25144883900066, "tp_replicas_exact": true}
